channel,Unsubscribed,MIS_DT,UPDATED_DT,UNSUBSCRIBED_DT,UnsubscriptionDate
sb8blog,1,1.70609E+12,1.70611E+12,1706302800000,26/01/2024
sb8blog,1,1.70609E+12,1.70611E+12,1706302800000,26/01/2024
sb8blog,1,1.70609E+12,1.70647E+12,1706475600000,28/01/2024
sb8blog,1,1.70609E+12,1.70652E+12,1706562000000,29/01/2024
sb8blog,1,1.70638E+12,1.7065E+12,1706562000000,29/01/2024
sb8blog,1,1.70609E+12,1.70762E+12,1707685200000,11/02/2024
sb8blog,1,1.70609E+12,1.70802E+12,1708030800000,15/02/2024
sb8blog,1,1.70609E+12,1.70832E+12,1708376400000,19/02/2024
sb8blog,1,1.70609E+12,1.7088E+12,1708808400000,24/02/2024
sb8blog,1,1.70611E+12,1.70918E+12,1709240400000,29/02/2024
sb8blog,1,1.70609E+12,1.70953E+12,1709586000000,04/03/2024
sb8blog,1,1.70806E+12,1.70961E+12,1709672400000,05/03/2024
sb8blog,1,1.70638E+12,1.70998E+12,1710018000000,09/03/2024
sb8blog,1,1.70609E+12,1.71024E+12,1710277200000,12/03/2024
sb8blog,1,1.70609E+12,1.71067E+12,1710709200000,17/03/2024
sb8blog,1,1.70609E+12,1.71153E+12,1711573200000,27/03/2024
sb8blog,1,1.70609E+12,1.71208E+12,1712091600000,02/04/2024
sb8blog,1,1.71225E+12,1.71231E+12,1712350800000,05/04/2024
sb8blog,1,1.70609E+12,1.71255E+12,1712610000000,08/04/2024
sb8blog,1,1.70609E+12,1.71283E+12,1712869200000,11/04/2024
sb8blog,1,1.70611E+12,1.71292E+12,1712955600000,12/04/2024
sb8blog,1,1.70609E+12,1.71387E+12,1713906000000,23/04/2024
sb8blog,1,1.70609E+12,1.71407E+12,1714078800000,25/04/2024
sb8blog,1,1.7126E+12,1.71402E+12,1714078800000,25/04/2024
sb8blog,1,1.7067E+12,1.7141E+12,1714165200000,26/04/2024
sb8blog,1,1.70983E+12,1.71433E+12,1714338000000,28/04/2024
sb8blog,1,1.70609E+12,1.71511E+12,1715115600000,07/05/2024
