Country;Year;Gross;Net;PricesIndex
European Union - 27 countries (from 2020);2021;36216,91;24913,31;100
European Union - 28 countries (2013-2020);2021;;;
European Union - 15 countries (1995-2004);2021;;;
Euro area – 20 countries (from 2023);2021;40653,04;27766,97;
Euro area - 19 countries  (2015-2022);2021;40948,22;27963,39;
Belgium;2021;51328;31063,95;114,9
Bulgaria;2021;9371,61;7272,19;51,8
Czechia;2021;17230,25;13836,19;71,9
Denmark;2021;60750,3;39273,77;143,9
Germany;2021;52800;32850,2;108,5
Estonia;2021;18489,34;15300,44;83,6
Ireland;2021;52135,34;37907,05;146,4
Greece;2021;19614;15118,82;84,1
Spain;2021;27570,48;21668,52;98,7
France;2021;39428,58;28559,28;108,1
Croatia;2021;14527,44;10382,66;66,9
Italy;2021;32029;22999,27;101,6
Cyprus;2021;23244;20951,8;93,6
Latvia;2021;15276;11229,49;76,3
Lithuania;2021;18560,4;11798,21;67,8
Luxembourg;2021;65517;44934,82;153,1
Hungary;2021;15150,32;10074,96;62,7
Malta;2021;23950;18292,5;89,3
Netherlands;2021;55903,55;40433,34;120,6
Austria;2021;50447,06;33712,21;117,6
Poland;2021;14039,93;10643,29;56,7
Portugal;2021;20680,46;14876,1;87,8
Romania;2021;12791,22;8069,82;49,2
Slovenia;2021;22276;14601,22;88,1
Slovakia;2021;14437,76;10984,68;81,9
Finland;2021;49491,11;33992,19;129,3
Sweden;2021;46939,93;35485,73;138,4
Iceland;2021;68980,07;49514,31;161,5
Norway;2021;62830,38;45686,24;155,7
Switzerland;2021;90581,18;74064,39;177,4
United Kingdom;2021;44260;31285;126,6
Türkiye;2021;8274,86;5845,09;35,7
United States;2021;52568,26;40787,2;123,4
Japan;2021;39170,68;30461,6;116
European Union - 27 countries (from 2020);2022;37946,77;26135,5;100
European Union - 28 countries (2013-2020);2022;;;
European Union - 15 countries (1995-2004);2022;;;
Euro area – 20 countries (from 2023);2022;42504,68;29043,9;
Euro area - 19 countries  (2015-2022);2022;42811,89;29249,31;
Belgium;2022;55331,73;33006,19;114,9
Bulgaria;2022;10840,18;8411,76;51,8
Czechia;2022;19245,42;15497;71,9
Denmark;2022;62932,8;40584,69;143,9
Germany;2022;55040,94;34438,87;108,5
Estonia;2022;19996,23;16319,23;83,6
Ireland;2022;54649,04;39616,81;146,4
Greece;2022;19912,13;15335,47;84,1
Spain;2022;28360,29;22293,9;98,7
France;2022;41540,39;30052,7;108,1
Croatia;2022;15315,05;10864,04;66,9
Italy;2022;33854,73;24102,41;101,6
Cyprus;2022;24342,14;21757,39;93,6
Latvia;2022;16758,01;12315,32;76,3
Lithuania;2022;20666,97;12996,85;67,8
Luxembourg;2022;70189,48;47639,65;153,1
Hungary;2022;16172,43;10754,67;62,7
Malta;2022;24487;18641,55;89,3
Netherlands;2022;57512,82;41556,78;120,6
Austria;2022;52665,99;35837,4;117,6
Poland;2022;15566,34;12024,7;56,7
Portugal;2022;21606,38;15526,44;87,8
Romania;2022;14181,22;8946,76;49,2
Slovenia;2022;23331,61;15495,24;88,1
Slovakia;2022;15537,66;11769,11;81,9
Finland;2022;50774,3;34971,52;129,3
Sweden;2022;46522,22;35233,47;138,4
Iceland;2022;77050,24;55324,1;161,5
Norway;2022;65935,03;47902,53;155,7
Switzerland;2022;100412,9;81818,3;177,4
United Kingdom;2022;38310;38310;126,6
Türkiye;2022;7889,1;5819,13;35,7
United States;2022;61623,03;46337,35;123,4
Japan;2022;37339,77;29011,44;116
