Country;Year;Pct;Thousands
European Union - 27 countries (from 2020);2021;0,045;8 927,0
Belgium;2021;0,056;272,1
Bulgaria;2021;0,035;108,0
Czechia;2021;0,046;240,6
Denmark;2021;0,056;161,8
Germany;2021;0,049;2 013,2
Estonia;2021;0,062;40,1
Ireland;2021;0,063;149,2
Greece;2021;0,024;93,4
Spain;2021;0,041;806,3
France;2021;0,045;1 238,8
Croatia;2021;0,036;59,7
Italy;2021;0,038;848,6
Cyprus;2021;0,039;16,6
Latvia;2021;0,038;32,7
Lithuania;2021;0,038;52,2
Luxembourg;2021;0,067;20,5
Hungary;2021;0,039;181,2
Malta;2021;0,047;12,7
Netherlands;2021;0,067;620,6
Austria;2021;0,045;192,5
Poland;2021;0,035;585,7
Portugal;2021;0,047;225,3
Romania;2021;0,026;203,0
Slovenia;2021;0,048;46,5
Slovakia;2021;0,043;110,5
Finland;2021;0,074;188,0
Sweden;2021;0,08;407,1
Iceland;2021;0,04;7,8
Norway;2021;0,054;148,7
Switzerland;2021;0,055;255,7
European Union - 27 countries (from 2020);2022;0,046;9 370,2
Belgium;2022;0,056;277,5
Bulgaria;2022;0,038;120,7
Czechia;2022;0,045;232,9
Denmark;2022;0,057;170,9
Germany;2022;0,05;2 114,0
Estonia;2022;0,066;44,5
Ireland;2022;0,062;157,2
Greece;2022;0,025;103,1
Spain;2022;0,043;876,8
France;2022;0,043;1 215,5
Croatia;2022;0,037;63,4
Italy;2022;0,039;898,3
Cyprus;2022;0,046;20,4
Latvia;2022;0,044;39,2
Lithuania;2022;0,044;61,7
Luxembourg;2022;0,077;23,9
Hungary;2022;0,041;193,6
Malta;2022;0,048;13,7
Netherlands;2022;0,072;685,0
Austria;2022;0,05;220,6
Poland;2022;0,036;600,7
Portugal;2022;0,045;219,7
Romania;2022;0,028;215,0
Slovenia;2022;0,045;44,7
Slovakia;2022;0,043;111,5
Finland;2022;0,076;197,9
Sweden;2022;0,086;448,0
Iceland;2022;0,043;8,9
Norway;2022;0,051;146,4
Switzerland;2022;0,057;267,0
