DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2020-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2021-Q1,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2021-Q2,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2021-Q3,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2021-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2022-Q1,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2022-Q2,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2022-Q3,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,AT,2022-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2020-Q4,121565,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2021-Q1,120180,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2021-Q2,123195,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2021-Q3,123607,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2021-Q4,131350,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2022-Q1,126305,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2022-Q2,129077,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2022-Q3,125755,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BE,2022-Q4,128603,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2020-Q4,106010,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2021-Q1,104505,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2021-Q2,105911,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2021-Q3,106226,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2021-Q4,107992,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2022-Q1,110510,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2022-Q2,111344,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2022-Q3,112610,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,BG,2022-Q4,113763,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2020-Q4,184047,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2021-Q1,184944,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2021-Q2,185229,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2021-Q3,187996,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2021-Q4,187428,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2022-Q1,189742,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2022-Q2,192891,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2022-Q3,196753,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CH,2022-Q4,196242,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2020-Q4,9452,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2021-Q1,13050,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2021-Q2,7155,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2021-Q3,6308,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2021-Q4,13272,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2022-Q1,13381,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2022-Q2,13148,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2022-Q3,14037,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CY,2022-Q4,14020,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2020-Q4,138282,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2021-Q1,147352,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2021-Q2,158116,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2021-Q3,157490,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2021-Q4,161638,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2022-Q1,138050,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2022-Q2,143259,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2022-Q3,145758,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2022-Q4,141075,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,CZ,2023-Q1,141470,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,DE,2020-Q4,1296495,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,J,TOTAL,JOBOCC,DE,2021-Q1,1283102,
