DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2020-Q4,2253168,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2021-Q1,2202383,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2021-Q2,2245653,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2021-Q3,2222459,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2021-Q4,2206830,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2022-Q1,2215354,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2022-Q2,2250207,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2022-Q3,2217915,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,BG,2022-Q4,2204301,p
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2020-Q4,4400452,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2021-Q1,4414049,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2021-Q2,4420604,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2021-Q3,4491045,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2021-Q4,4497795,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2022-Q1,4407691,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2022-Q2,4405006,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2022-Q3,4423335,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2022-Q4,4421023,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,CZ,2023-Q1,4458535,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2020-Q4,41212277,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2021-Q1,39812037,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2021-Q2,39743211,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2021-Q3,40044095,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2021-Q4,41884848,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2022-Q1,40184992,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2022-Q2,40671893,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,DE,2022-Q3,40616676,
