,Description,Source,Quantity,Invoice Count,UnitPrice,TopPrice
0, 4 PURPLE FLOCK DINNER CANDLES,Amazon,29.0,11,2.23,True
1, 4 PURPLE FLOCK DINNER CANDLES,Emag,38.0,10,2.37,False
2, 4 PURPLE FLOCK DINNER CANDLES,Offline,44.0,9,2.35,True
3, 4 PURPLE FLOCK DINNER CANDLES,Website,33.0,11,2.84,True
4, 50'S CHRISTMAS GIFT BAG LARGE,Amazon,417.0,32,1.44,False
5, 50'S CHRISTMAS GIFT BAG LARGE,Emag,372.0,34,1.39,True
6, 50'S CHRISTMAS GIFT BAG LARGE,Offline,789.0,37,1.44,True
7, 50'S CHRISTMAS GIFT BAG LARGE,Website,335.0,27,1.43,True
8, DOLLY GIRL BEAKER,Amazon,494.0,47,1.43,True
9, DOLLY GIRL BEAKER,Emag,1063.0,44,1.52,False
10, DOLLY GIRL BEAKER,Offline,167.0,38,1.6,True
11, DOLLY GIRL BEAKER,Website,724.0,52,1.48,True
12, I LOVE LONDON MINI BACKPACK,Amazon,55.0,18,4.61,True
13, I LOVE LONDON MINI BACKPACK,Emag,118.0,22,5.07,False
14, I LOVE LONDON MINI BACKPACK,Offline,102.0,25,4.48,True
15, I LOVE LONDON MINI BACKPACK,Website,114.0,23,4.31,True
16, I LOVE LONDON MINI RUCKSACK,Amazon,1.0,1,4.15,True
17, NINE DRAWER OFFICE TIDY,Amazon,13.0,8,14.95,False
18, NINE DRAWER OFFICE TIDY,Emag,25.0,10,15.88,True
19, NINE DRAWER OFFICE TIDY,Offline,10.0,8,16.72,True
20, NINE DRAWER OFFICE TIDY,Website,11.0,8,16.72,True
21, OVAL WALL MIRROR DIAMANTE ,Amazon,64.0,47,10.76,False
22, OVAL WALL MIRROR DIAMANTE ,Emag,39.0,29,11.01,True
23, OVAL WALL MIRROR DIAMANTE ,Offline,55.0,44,10.31,True
24, OVAL WALL MIRROR DIAMANTE ,Website,75.0,42,10.77,True
25, RED SPOT GIFT BAG LARGE,Amazon,222.0,21,1.42,True
26, RED SPOT GIFT BAG LARGE,Emag,834.0,32,1.36,True
