Company;Country
AEB;Brazil
AMBA;US
ASI;Italy
Arianespace;France
Arme de l'Air;France
Astra;US
Blue Origin;US
Boeing;US
CAS Space;China
CASC;China
CASIC;China
CECLES;Europe
CNES;France
Douglas;US
EER;US
ESA;Europe
Eurockot;Germany
ExPace;China
Exos;US
Firefly;US
GK LS;Russia
Galactic Energy;China
General Dynamics;US
IAI;Israel
ILS;Russia
IRGC;Israel
ISA;Israel
ISAS;Japan
ISRO;India
JAXA;Japan
KARI;Korea
KCST;Korea
Khrunichev;Russia
Kosmotras;Russia
Land Launch;Russia
Landspace;China
Lockheed;US
MHI;Japan
MITT;Russia
Martin Marietta;US
NASA;US
Northrop;US
OKB-586;Russia
OneSpace;China
RAE;UK
RVSN USSR;Russia
Rocket Lab;US
Roscosmos;Russia
SRC;US
Sandia;US
Sea Launch;Russia
SpaceX;US
Starsem;France
ULA;US
US Air Force;US
US Navy;US
UT;US
VKS RF;Russia
Virgin Galactic;US
Virgin Orbit;US
Yuzhmash;Russia
i-Space;Japan
